_,_,util
12,0,0.00
13,0,0.00
14,0,0.00
15,0,0.00
16,0,0.00
17,0,0.00
18,0,0.00
12,1329,64.89
13,1550,75.68
14,1904,92.97
15,1702,83.11
16,1740,84.96
17,0,0.00
18,0,0.00
13,1531,74.76
14,1895,92.53
15,1698,82.91
16,1719,83.94
17,0,0.00
18,0,0.00
19,0,0.00
13,1428,69.73
14,1697,82.86
15,1544,75.39
16,1562,76.27
17,0,0.00
18,0,0.00
19,0,0.00
13,1238,60.45
14,1526,74.51
15,1391,67.92
16,1426,69.63
17,1485,72.51
18,0,0.00
19,0,0.00
20,0,0.00
15,1373,67.04
16,1415,69.09
17,1432,69.92
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
17,1422,69.43
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
18,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
18,1495,73.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
18,1315,64.21
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
18,1189,58.06
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
18,1081,52.78
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
19,0,0.00
20,0,0.00
21,0,0.00
22,0,0.00
23,0,0.00
24,0,0.00
25,0,0.00
26,0,0.00
19,1324,64.65
20,1293,63.13
21,1373,67.04
22,1329,64.89
23,1332,65.04
24,1748,85.35
25,0,0.00
26,0,0.00
21,1250,61.04
22,1201,58.64
23,1225,59.81
24,1577,77.00
25,0,0.00
26,0,0.00
27,0,0.00
28,0,0.00
23,1221,59.62
24,1574,76.86
25,1771,86.47
26,1861,90.87
27,0,0.00
28,0,0.00
29,0,0.00
24,1556,75.98
25,1762,86.04
26,1843,89.99
27,0,0.00
28,0,0.00
29,0,0.00
30,0,0.00
24,1443,70.46
25,1595,77.88
26,1699,82.96
27,1570,76.66
28,0,0.00
29,0,0.00
30,0,0.00
24,1308,63.87
25,1475,72.02
26,1477,72.12
27,1380,67.38
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
24,1218,59.47
25,1331,64.99
26,1340,65.43
27,1220,59.57
28,0,0.00
29,0,0.00
30,0,0.00
31,0,0.00
24,1119,54.64
25,1178,57.52
26,1147,56.01
27,1089,53.17
28,1366,66.70
29,1408,68.75
30,0,0.00
31,0,0.00
32,0,0.00
26,1138,55.57
27,1079,52.69
28,1354,66.11
29,1382,67.48
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
28,1350,65.92
29,1355,66.16
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
34,0,0.00
30,0,0.00
31,0,0.00
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
30,1438,70.21
31,0,0.00
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
30,1267,61.87
31,0,0.00
32,0,0.00
33,0,0.00
34,0,0.00
35,0,0.00
36,0,0.00
30,1141,55.71
31,1475,72.02
32,1475,72.02
33,1457,71.14
34,1490,72.75
35,0,0.00
36,0,0.00
37,0,0.00
30,1024,50.00
31,1376,67.19
32,1346,65.72
33,1337,65.28
34,1289,62.94
35,0,0.00
36,0,0.00
37,0,0.00
30,997,48.68
31,1214,59.28
32,1193,58.25
33,1157,56.49
34,1172,57.23
35,1270,62.01
36,0,0.00
37,0,0.00
38,0,0.00
32,1182,57.71
33,1148,56.05
34,1136,55.47
35,1252,61.13
36,0,0.00
37,0,0.00
38,0,0.00
39,0,0.00
34,1116,54.49
35,1235,60.30
36,0,0.00
37,0,0.00
38,0,0.00
39,0,0.00
40,0,0.00
36,0,0.00
37,0,0.00
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
36,1457,71.14
37,0,0.00
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
36,1277,62.35
37,0,0.00
38,0,0.00
39,0,0.00
40,0,0.00
41,0,0.00
42,0,0.00
36,1169,57.08
37,1459,71.24
38,1413,68.99
39,1487,72.61
40,1517,74.07
41,0,0.00
42,0,0.00
43,0,0.00
36,1053,51.42
37,1378,67.29
38,1251,61.08
39,1387,67.72
40,1328,64.84
41,0,0.00
42,0,0.00
43,0,0.00
38,1242,60.64
39,1376,67.19
40,1310,63.96
41,0,0.00
42,0,0.00
43,0,0.00
44,0,0.00
45,0,0.00
40,1301,63.53
41,0,0.00
42,0,0.00
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
41,0,0.00
42,0,0.00
43,0,0.00
44,0,0.00
45,0,0.00
46,0,0.00
47,0,0.00
41,1183,57.76
42,1598,78.03
43,1859,90.77
44,1676,81.84
45,1757,85.79
46,0,0.00
47,0,0.00
42,1579,77.10
43,1850,90.33
44,1658,80.96
45,1730,84.47
46,0,0.00
47,0,0.00
